"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000312916.12",0.0682412715028607,0.0682595280524265,4.78344088767638,0.991675584297202,1
"ENST00000370377.8",0.0516247730497985,0.0516289917950648,6.43420000097532,0.999999977553961,1
"ENST00000437787.6",1.60917710050925,1.62016764695776,0.477976187646671,0.214952417633558,0.809988311059021
"ENST00000466436.5",0.0213593881227813,0.0215136610677443,0.236299129425378,0.977160793459967,1
"ENST00000524230.9",-0.177973589427736,-0.17842070166162,1.58365379087554,0.749469026529135,1
"ENST00000523403.3",-0.171096702639343,-0.171525433551242,1.52112282948853,0.768070842517454,1
"ENST00000646704.1",0.0484916275721278,0.0486208570472038,1.36807575874303,0.974327529491345,1
"ENST00000255198.3",-1.32177144526078,-1.32512327209035,1.72218125510051,0.00902573294984576,0.104890803893238
"ENST00000414731.6",-0.533260224869705,-0.535061744098851,1.17627634029975,0.563533791957956,1
"ENST00000449118.5",-0.226419919846104,-0.226821109487133,2.0399753186838,0.897088024686633,1
"ENST00000479699.5",-0.207842624204486,-0.20796473346333,3.61146688605395,0.707957816933568,1
"ENST00000427021.3",0.78801570655636,0.788288708276462,4.42384329622389,0.0353877206701053,0.287682167785863
"ENST00000485239.5",0.319412926123231,0.322226101717397,-0.0735508722344165,0.818657700657717,1
"ENST00000492825.1",-0.795324686648575,-0.801716228022524,0.0712567538394882,0.305352831924416,0.923025666187929
"ENST00000484497.1",0.3750858778576,0.376695020177035,0.830129365041625,0.508510787416858,1
"ENST00000264917.10",0.88925916895859,0.899902554519554,-0.454751575428928,0.167108400289184,0.720381883640592
"ENST00000414536.6",-0.362692489870545,-0.362920084063476,3.52485165592995,0.540082012428111,1
"ENST00000383384.6",-0.528404835600277,-0.530940824238994,0.687558456523807,0.405196058895239,0.998116724422732
"ENST00000383383.6",-0.181488719816364,-0.181608015148453,3.43977050748803,0.84345795876011,1
"ENST00000400035.5",-0.938959606901895,-0.949312482366248,-0.30882522979213,0.17565644226262,0.736545861989285
"ENST00000400034.5",0.0648761211279386,0.0653451854984907,0.219460931291104,0.945419565130026,1
"ENST00000400039.3",-0.22523805535479,-0.228393521979834,-0.582212426104681,0.767053503006689,1
"ENST00000595125.5",0.440798407618177,0.442018179259769,1.46328823358814,0.463980466797519,1
"ENST00000423777.7",-0.190332927462994,-0.190389359872501,4.5890779899184,0.97724481760142,1
"ENST00000600336.1",0.225937757706745,0.227628778997654,0.0422142708661707,0.738088012755534,1
"ENST00000540080.5",0.108068605056904,0.108391666178168,1.22222467409207,0.875199085964663,1
"ENST00000345519.10",0.212287009364303,0.212296091099194,7.36975219464719,0.999938694931301,1
"ENST00000464497.5",0.81460087554461,0.822440862566889,-0.170553546918719,0.182772164406268,0.751280519822711
"ENST00000470744.5",-0.209833622534187,-0.210902064154711,0.622726873499522,0.749698367241205,1
